"전라남도",화순군,82.19
"전라남도",장흥군,64.49
"전라남도",강진군,73.60
"전라남도",해남군,71.37
"전라남도",영암군,92.04
"전라남도",무안군,184.27
"전라남도",함평군,87.55
"전라남도",영광군,115.32
"전라남도",장성군,88.94
"전라남도",완도군,131.44
"전라남도",진도군,72.17
"전라남도",신안군,64.14
"경상북도",소계,141.43
"경상북도",포항시,454.71
"경상북도",경주시,194.65
"경상북도",김천시,141.52
"경상북도",안동시,109.25
"경상북도",구미시,685.53
"경상북도",영주시,161.77
"경상북도",영천시,109.46
"경상북도",상주시,80.46
"경상북도",문경시,80.38
"경상북도",경산시,630.17
"경상북도",군위군,39.42
"경상북도",의성군,45.51
"경상북도",청송군,30.74
"경상북도",영양군,21.43
"경상북도",영덕군,51.98
"경상북도",청도군,62.48
"경상북도",고령군,87.92
"경상북도",성주군,73.27
"경상북도",칠곡군,268.03
"경상북도",예천군,74.47
"경상북도",봉화군,27.67
"경상북도",울진군,51.49
"경상북도",울릉군,136.87
"경상남도",소계,320.73
"경상남도",창원시,1413.48
"경상남도",진주시,486.27
"경상남도",통영시,566.30
"경상남도",사천시,286.60
"경상남도",김해시,1148.42
"경상남도",밀양시,135.10
"경상남도",거제시,630.85
"경상남도",양산시,697.42
"경상남도",의령군,57.68
"경상남도",함안군,163.72
"경상남도",창녕군,120.30
"경상남도",고성군,104.38
"경상남도",남해군,124.85
"경상남도",하동군,72.28
"경상남도",산청군,45.72
"경상남도",함양군,55.38
"경상남도",거창군,78.14
"경상남도",합천군,47.79
"제주특별자치도",소계,355.15
"제주특별자치도",제주시,489.12
"제주특별자치도",서귀포시,204.69
